Date,Hometeam,Awayteam
02/01/95,Tottenham,Arsenal
03/12/94,"Nott'm Forest",Arsenal
28/08/94,Liverpool,Arsenal
17/04/95,"Aston Villa",Arsenal
14/05/95,Chelsea,Arsenal
21/01/95,Coventry,Arsenal
10/09/94,Norwich,Arsenal
29/10/94,Everton,Arsenal
08/04/95,QPR,Arsenal
28/12/94,Ipswich,Arsenal
23/11/94,Leicester,Arsenal
22/03/95,"Man United",Arsenal
25/09/94,"West Ham",Arsenal
23/08/94,Leeds,Arsenal
08/10/94,Wimbledon,Arsenal
08/03/95,Blackburn,Arsenal
19/03/95,Newcastle,Arsenal
19/11/94,Southampton,Arsenal
12/12/94,"Man City",Arsenal
04/02/95,"Sheffield Weds",Arsenal
25/02/95,"Crystal Palace",Arsenal
04/02/95,"Man United","Aston Villa"
19/12/94,Southampton,"Aston Villa"
21/01/95,"Nott'm Forest","Aston Villa"
29/08/94,Coventry,"Aston Villa"
08/10/94,Liverpool,"Aston Villa"
31/12/94,"Man City","Aston Villa"
18/02/95,"Sheffield Weds","Aston Villa"
19/11/94,Tottenham,"Aston Villa"
24/09/94,Blackburn,"Aston Villa"
